Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Mongla Orion 100 MW Solar PP,Solar,Pv,PP,BD,100,0.25,,0,0,0,2021,2021,,2041,22.4804,89.5996,,,
Khulna 330 MW CCPP (OIL),GAS/Oil,Steam Turbine,PP,BD,336,0.35,,0,0,0,2022,2022,,2042,22.8456,89.5403,,,
Rampal 1320 MW (BIFPCL),Hard Coal,Steam Turbine,PP,BD,617,0.39,,0,0,0,2022,2022,,2057,22.4898,89.7322,,,
Barisal 110 MW PP (Summit ),Oil,Steam Turbine,PP,BD,110,0.35,,0,0,0,2016,2016,,2036,22.701,90.3535,,,
Bhola  33 MW PP (Venture),Natural Gas,CCGT,PP,BD,40,0.37,,0,0,0,2019,2019,,2044,22.6859,90.644,,,
Bhola 225 MW  CCPP,Natural Gas,CCGT,PP,BD,194,0.37,,0,0,0,2015,2015,,2040,22.6859,90.644,,,
Payra 1320 MW,Hard Coal,Steam Turbine,PP,BD,1244,0.39,,0,0,0,2020,2020,,2055,22.3419,90.3187,,,
Bhola Nutan Biddut BD LTD,Natural Gas,CCGT,PP,BD,220,0.37,,0,0,0,2021,2021,,2046,22.6859,90.644,,,
United Payra Power Ltd.,Oil,Steam Turbine,PP,BD,150,0.35,,0,0,0,2021,2021,,2041,22.3419,90.3187,,,
Barisal 307 MW ,Hard Coal,Steam Turbine,PP,BD,307,0.39,,0,0,0,2022,2022,,2057,22.701,90.3535,,,
Baghabari 71 MW GTPP,Natural Gas,CCGT,PP,BD,71,0.37,,0,0,0,1991,1991,,2024,24.2879,89.5403,,,
Baghabari 100 MW GTPP,Natural Gas,CCGT,PP,BD,100,0.37,,0,0,0,2001,2001,,2024,24.2879,89.5403,,,
Baghabari  50 MW Peaking PP,Oil,Steam Turbine,PP,BD,52,0.35,,0,0,0,2016,2016,,2036,24.2879,89.5403,,,
Bera 70 MW Peaking PP,Oil,Steam Turbine,PP,BD,71,0.35,,0,0,0,2011,2011,,2031,24.078,89.6126,,,
Amnura 50 MW PP(Sinha),Oil,Steam Turbine,PP,BD,50,0.35,,0,0,0,2015,2015,,2035,24.4125,88.6125,,,
Katakhali 50 MW PP (Northern),Oil,Steam Turbine,PP,BD,50,0.35,,0,0,0,2017,2017,,2037,24.4112,88.6447,,,
Katakhali 50 MW Peaking PP,Oil,Steam Turbine,PP,BD,50,0.35,,0,0,0,2017,2017,,2037,24.4112,88.6447,,,
Sirajgonj 225MW CCPP Unit-1,GAS/Oil,Steam Turbine,PP,BD,210,0.35,,0,0,0,2014,2014,,2034,24.4616,89.65,,,
Sirajgonj 225MW CCPP Unit-2,GAS/Oil,Steam Turbine,PP,BD,220,0.35,,0,0,0,2018,2018,,2038,24.4616,89.65,,,
Sirajgonj 225MW CCPP Unit-3,GAS/Oil,Steam Turbine,PP,BD,220,0.35,,0,0,0,2018,2018,,2038,24.4616,89.65,,,
Sirajgonj 400 MW CCPP Unit-4,GAS/Oil,Steam Turbine,PP,BD,414,0.35,,0,0,0,2019,2019,,2039,24.4616,89.65,,,
Santahar  50 MW Peaking PP,Oil,Steam Turbine,PP,BD,50,0.35,,0,0,0,2012,2012,,2032,24.7733,88.9291,,,
Ullapara 11 MW PP  (Summit),Natural Gas,CCGT,PP,BD,11,0.37,,0,0,0,2009,2009,,2034,24.3319,89.5681,,,
Natore 52 MW PP (Rajlanka) ,Oil,Steam Turbine,PP,BD,52,0.35,,0,0,0,2014,2014,,2034,24.4121,88.9782,,,
Chapainawabganj 100 MW Peaking PP,Oil,Steam Turbine,PP,BD,104,0.35,,0,0,0,2017,2017,,2037,24.5965,88.2776,,,
Bagura 113 MW PP (Confidence)-2,Oil,Steam Turbine,PP,BD,113,0.35,,0,0,0,2019,2019,,2039,24.85,89.3718,,,
Confidence Power Bogura Unit-1 113 MW,Oil,Steam Turbine,PP,BD,113,0.35,,0,0,0,2019,2019,,2039,24.85,89.3718,,,
 Sirajgonj 6.55 MW Solar,Solar,Pv,PP,BD,6,0.25,,0,0,0,2021,2021,,2041,24.4616,89.65,,,
Adani Power Jharkhanda Ltd,Hard Coal,Steam Turbine,PP,BD,1496,0.39,,0,0,0,2023,2023,,2058,23.7244,86.4376,,,
Barapukuria TPP Unit-1 ,Hard Coal,Steam Turbine,PP,BD,125,0.39,,0,0,0,2006,2006,,2041,25.5546,88.9189,,,
Barapukuria TPP  Unit-2,Hard Coal,Steam Turbine,PP,BD,125,0.39,,0,0,0,2006,2006,,2041,25.5546,88.9189,,,
Barapukuria 275 MW TPP Unit-3,Hard Coal,Steam Turbine,PP,BD,274,0.39,,0,0,0,2018,2018,,2053,25.5546,88.9189,,,
Rangpur 20 MW  GTPP,Oil,Steam Turbine,PP,BD,20,0.35,,0,0,0,2013,2013,,2033,25.7439,89.2752,,,
Saidpur 20 MW GTPP,Oil,Steam Turbine,PP,BD,20,0.35,,0,0,0,2006,2023,,2043,25.7777,88.8912,,,
Rangpur 113 MW PP (Confidence)  ,Oil,Steam Turbine,PP,BD,113,0.35,,0,0,0,2019,2019,,2039,25.7439,89.2752,,,
Sympa Solar Power 8MW,Solar,Pv,PP,BD,8,0.25,,0,0,0,2019,2019,,2039,25.7439,89.2752,,,
Energypac Power Venture Thakurgaon Ltd.,Oil,Steam Turbine,PP,BD,115,0.35,,0,0,0,2022,2022,,2042,25.9714,88.3993,,,
Intraco Solar  30 MW ,Solar,Pv,PP,BD,30,0.25,,0,0,0,2022,2022,,2042,23.2513,90.8557,,,
Teesta Solar Limited,Solar,Pv,PP,BD,200,0.25,,0,0,0,2022,2022,,2042,25.5676,89.3828,,,
Rooppur,Nuclear,Steam Turbine,PP,BD,2060,0.375,,0,0,0,2025,2025,,2075,24.0649,89.0352,,,
Barishal 1 MW Solar Power Plant,Solar,Pv,PP,BD,1,0.25,,0,0,0,2025,2025,,2045,22.701,90.3535,,,
Sirajganj 2 MW Wind based Power Plant,Wind,Offshore,PP,BD,2,0.4,,0,0,0,2025,2025,,2045,24.4616,89.65,,,
"Sonagazi, Feni 50 MW Solar Power Plant",Solar,Pv,PP,BD,50,0.25,,0,0,0,2026,2026,,2046,23.023,91.381,,,
"Sreepur, Gazipur 150 MW Power Plant",Oil,Steam Turbine,PP,BD,163,0.35,,0,0,0,2027,2027,,2047,24.1996,90.4808,,,
Ghorasal 4th Unit Repowering,Natural Gas,CCGT,PP,BD,409,0.37,,0,0,0,2027,2027,,2052,23.7932,90.6242,,,
Sayedpur 150 MW PP,Oil,Steam Turbine,PP,BD,162,0.35,,0,0,0,2028,2028,,2048,25.7777,88.8912,,,
Ghorasal 3rd Unit Repowering - ST,Natural Gas,CCGT,PP,BD,156,0.37,,0,0,0,2028,2028,,2053,23.7932,90.6242,,,
Rupsa 800 MW CCPP (Unit-1),Natural Gas,CCGT,PP,BD,440,0.37,,0,0,0,2025,2025,,2050,22.8456,89.5403,,,
"Madarganj, Jamalpur 100 MW Solar Power Plant",Solar,Pv,PP,BD,100,0.25,,0,0,0,2025,2025,,2045,24.9056,89.9482,,,
Rupsa 800 MW CCPP; Unit-2,Natural Gas,CCGT,PP,BD,440,0.37,,0,0,0,2026,2026,,2051,22.8456,89.5403,,,
Mymenshingh 360 MW CCPP,Gas/HSD,Steam Turbine,PP,BD,420,0.35,,0,0,0,2026,2026,,2046,24.754,90.3984,,,
Rooppur Nuclear Power Plant,Nuclear,Steam Turbine,PP,BD,2060,0.375,,0,0,0,2027,2027,,2077,24.0649,89.0352,,,
Meghnaghat 600 MW CCPP (Summit),Natural Gas,CCGT,PP,BD,583,0.37,,0,0,0,2026,2026,,2051,23.5648,90.5405,,,
Meghnaghat 600 MW CCPP (Unique),Natural Gas,CCGT,PP,BD,584,0.37,,0,0,0,2026,2026,,2051,23.5648,90.5405,,,
Cox's Bazar 60 MW Wind based Power Plant,Wind,Offshore,PP,BD,60,0.4,,0,0,0,2027,2027,,2047,21.4272,92.0058,,,
"Patgram, Lalmonirhat 5 MW Solar Power Plant",Solar,Pv,PP,BD,5,0.25,,0,0,0,2027,2027,,2047,25.8977,89.2933,,,
"Gowainghat, Sylhet 5 MW Solar Power Plant",Solar,Pv,PP,BD,5,0.25,,0,0,0,2028,2028,,2048,25.0333,91.8667,,,
"Bera, Rajshahi 3.77 MW Solar Power Plant",Solar,Pv,PP,BD,4,0.25,,0,0,0,2028,2028,,2048,24.078,89.6126,,,
Meghnagat 750 MW CCPP (Reliance),Natural Gas,CCGT,PP,BD,718,0.37,,0,0,0,2025,2025,,2050,23.5648,90.5405,,,
Keraniganj 100 MW Peaking (Power Pac),Oil,Steam Turbine,PP,BD,100,0.35,,0,0,0,2025,2025,,2045,23.7285,90.3852,,,
"Dhormopasha, Sunamganj 32 MW Solar Power Plant",Solar,Pv,PP,BD,32,0.25,,0,0,0,2026,2026,,2046,25.0635,91.4362,,,
"Tetulia, Panchagarh 30 MW Solar Park",Solar,Pv,PP,BD,30,0.25,,0,0,0,2026,2026,,2046,26.5919,88.4298,,,
Sirajganj 68 MW Solar Power Plant (BCRECL),Solar,Pv,PP,BD,68,0.25,,0,0,0,2027,2027,,2047,24.4616,89.65,,,
Rajshahi 100 MW Solar Power Plant,Solar,Pv,PP,BD,100,0.25,,0,0,0,2027,2027,,2047,24.3636,88.6241,,,
"Mongla, Bagerhat 55 MW Wind Power Plant",Wind,Offshore,PP,BD,55,0.4,,0,0,0,2028,2028,,2048,22.4804,89.5996,,,
Rajshahi 64.55 MW Solar Park (BCRECL),Solar,Pv,PP,BD,65,0.25,,0,0,0,2025,2025,,2045,24.3636,88.6241,,,
Anowara 590 MW CCPP (United),Natural Gas,CCGT,PP,BD,590,0.37,,0,0,0,2026,2026,,2051,22.2382,91.8166,,,
Dhaka 635 MW Hard Coal based PP (Orion Power),Hard Coal,Steam Turbine,PP,BD,635,0.39,,0,0,0,2027,2027,,2062,23.8103,90.4125,,,
Cox's Bazar 100 MW Solar,Solar,Pv,PP,BD,100,0.25,,0,0,0,2029,2029,,2049,21.4272,92.0058,,,
"Lama, Bandarban Solar Power Plant",Solar,Pv,PP,BD,70,0.25,,0,0,0,2029,2029,,2049,22.175,92.3535,,,
Barapukuria 200 MW Solar Power Plant,Solar,Pv,PP,BD,200,0.25,,0,0,0,2030,2030,,2050,25.5546,88.9189,,,
Chakaria 220 MW Wind Power Plant,Solar,Pv,PP,BD,220,0.25,,0,0,0,2030,2030,,2050,21.7745,92.0709,,,
Rampal 300 MW Solar,Solar,Pv,PP,BD,300,0.25,,0,0,0,2031,2031,,2051,22.4898,89.7322,,,
Fenchuganj 50 MW Power Plant,Natural Gas,CCGT,PP,BD,50,0.37,,0,0,0,2031,2031,,2056,24.6803,91.916,,,
"Dimla, Nilphamari 50 MW Solar Power Plant",Solar,Pv,PP,BD,50,0.25,,0,0,0,2032,2032,,2052,26.1296,88.9706,,,
"Debiganj, Panchagarh 20 MW Solar Park",Solar,Pv,PP,BD,20,0.25,,0,0,0,2032,2032,,2052,26.2598,88.7632,,,
"Moulovibazar, Sylhet 10 MW Solar Power Plant",Solar,Pv,PP,BD,10,0.25,,0,0,0,2033,2033,,2053,24.482,91.7809,,,
